2026-06-25 21:21:55 | INFO     | main                      | ΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉ
2026-06-25 21:21:55 | INFO     | main                      | ≡ƒÜÇ AI/ML Fresher Job Discovery System
2026-06-25 21:21:55 | INFO     | main                      |    Time: 2026-06-25 21:21:55 IST
2026-06-25 21:21:55 | INFO     | main                      |    Dry Run: True
2026-06-25 21:21:55 | INFO     | main                      | ΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉ
2026-06-25 21:21:55 | INFO     | main                      | 
≡ƒôé Step 1: Loading job history...
2026-06-25 21:21:55 | INFO     | core.history_manager      | Loaded history: 0 known jobs. Last run: Never
2026-06-25 21:21:55 | INFO     | main                      |    Known jobs: 0
2026-06-25 21:21:55 | INFO     | main                      |    Last run: Never (first run)
2026-06-25 21:21:55 | INFO     | main                      | 
≡ƒöì Step 2: Scraping all sources...
